,group,timespan,magnitude,drop,shape,startdate,enddate,recoverytime,pre_slope,recovery_slope,pre_post_difference
0,0,0 days 00:06:00,9586.0,8.32002499652826,-2374.0,2007-08-17 07:00:00,2007-08-17 07:06:00,0 days 01:04:00,-23770.53191946871,-805.0,-6351.467301087642
1,1,0 days 00:12:00,31161.0,18.437152391546164,-315.2857142857143,2007-08-18 02:20:00,2007-08-18 02:32:00,0 days 00:26:00,-30007.100628394153,3346.4,-548.8042139650988
2,2,0 days 00:08:00,10998.0,8.912407516956904,-1515.4,2007-08-20 05:54:00,2007-08-20 06:02:00,0 days 00:26:00,-19800.431760374213,-1867.0,-535.3920779408236
3,3,0 days 00:26:00,115681.0,68.47257983367368,-1165.357142857143,2007-08-20 15:58:00,2007-08-20 16:24:00,1 days 00:02:00,25752.340801986706,3672.818181818182,-11310.274800379184
4,4,0 days 00:12:00,81476.0,57.35807614327551,12683.42857142857,2007-08-20 16:06:00,2007-08-20 16:18:00,0 days 00:12:00,-180096.26290507516,12683.42857142857,2110.5778813213046
5,5,0 days 00:06:00,15976.0,14.822374585973677,-118.75,2007-08-22 11:08:00,2007-08-22 11:14:00,0 days 00:12:00,-2002.7706612995098,9.666666666666666,-1805.0854282602868
6,6,0 days 00:22:00,55174.0,51.25646814005555,-612.4166666666666,2007-08-24 10:42:00,2007-08-24 11:04:00,0 days 00:28:00,7944.52933124813,3459.0,-1078.5632623501817
7,7,0 days 00:48:00,158622.0,84.98639120464628,-1078.6,2007-08-24 19:48:00,2007-08-24 20:36:00,0 days 01:06:00,-25062.841676767217,2863.3636363636365,-9806.046092182882
8,8,0 days 00:40:00,119967.0,92.75607719428466,-796.5238095238095,2007-08-28 14:30:00,2007-08-28 15:10:00,1 days 00:02:00,15342.228501174332,-861.7,-15246.310667618167
9,9,0 days 00:08:00,7111.0,8.448177541225107,-250.0,2007-08-30 07:24:00,2007-08-30 07:32:00,0 days 00:14:00,-18461.10769159285,-219.0,-493.91728104460526
10,10,0 days 00:06:00,9358.0,5.6566364834314555,-2572.0,2007-08-31 02:40:00,2007-08-31 02:46:00,1 days 02:10:00,23542.24353683544,-6524.0,-3057.8028710963845
11,11,0 days 00:16:00,9358.0,5.6566364834314555,-689.7777777777778,2007-08-31 02:40:00,2007-08-31 02:56:00,1 days 02:10:00,23542.24353683544,-407.3333333333333,-2687.869837167964
12,12,1 days 06:06:00,2475.0295383999182,1.962513115211479,-2.740896498781751,2007-10-01 21:40:00,2007-10-03 03:46:00,1 days 10:04:00,-0.005031966146059281,-2.740896498784423,-0.010448459659247728
13,13,1 days 06:34:00,2513.4020893828565,2.0281135303211784,-2.740896498781744,2007-10-03 00:16:00,2007-10-04 06:50:00,1 days 10:26:00,-0.03276436219233247,-2.740896498784423,-0.06811531802267758
14,14,1 days 06:16:00,2488.734020893826,2.045485867678991,-2.7408964987817495,2007-10-04 03:44:00,2007-10-05 10:00:00,1 days 10:16:00,-0.23102007248966194,-2.740896498769871,-0.39142642328303834
15,15,1 days 06:06:00,2475.0295383999182,2.0718407282013658,-2.740896498781751,2007-10-05 06:36:00,2007-10-06 12:42:00,1 days 09:52:00,-1.2890137444650838,-2.740896498784423,-2.174990473728404
16,16,1 days 05:52:00,2455.843262908442,2.0949052220927626,-2.740896498781746,2007-10-06 09:44:00,2007-10-07 15:36:00,1 days 10:22:00,-7.577688785608668,-2.740896498784423,-11.524545503682722
17,17,1 days 05:54:00,2458.584159407241,2.1378301595156017,-2.740896498781749,2007-10-07 12:48:00,2007-10-08 18:42:00,1 days 09:36:00,-39.738536329457695,-2.740896498784423,-70.31176725633682
18,18,1 days 04:54:00,2376.3572644437663,2.1058291427656,-2.7408964987817406,2007-10-08 15:02:00,2007-10-09 19:56:00,1 days 10:32:00,-223.51748786182242,-2.740896498769871,-304.90204348492176
19,19,1 days 00:26:00,2009.0771336070175,1.815190733403952,-2.7408964987817463,2007-10-09 17:22:00,2007-10-10 17:48:00,1 days 11:38:00,-1051.1665113267695,-2.740896498784423,-959.4505184869427
20,20,1 days 03:42:00,2277.6849904876435,2.0627292416280625,-2.7408964987817646,2007-10-09 20:32:00,2007-10-11 00:14:00,1 days 08:26:00,-1112.4196702414924,-2.740896498784423,-2817.2315195071697
21,21,1 days 02:24:00,2170.790027035153,2.0026585111419593,-2.7408964987817437,2007-10-10 21:10:00,2007-10-11 23:34:00,1 days 07:50:00,-7434.182690778764,-2.740896498784423,-9121.233841071382
22,22,0 days 00:40:00,59722.0,87.90791468566466,-572.4285714285714,2007-10-16 11:48:00,2007-10-16 12:28:00,0 days 14:04:00,11920.933416212465,644.2222222222222,-8667.034592184615
23,23,0 days 00:26:00,91362.0,83.4318067668143,-936.3571428571429,2007-10-22 15:06:00,2007-10-22 15:32:00,0 days 01:38:00,-12389.567908172805,972.6363636363636,-7961.652925410618
24,24,0 days 00:08:00,6993.0,3.8566323266638705,1255.8,2007-10-23 23:10:00,2007-10-23 23:18:00,0 days 00:08:00,4881.77216041401,1255.8,-869.3069347117844
25,25,0 days 00:06:00,9706.0,5.342183767599039,-2137.5,2007-10-23 23:20:00,2007-10-23 23:26:00,0 days 15:48:00,18746.3414283019,-2970.6666666666665,-1144.1628582379894
